
[INFO] Processing chr1: /quobyte/bmhenngrp/from-lssc0/data/genomes/CAAPA_freeze2_PHASED_common_rare/snps/chr1.20240612_Freeze2.common_rare_phased.snps.vcf.gz
[INFO] chr1: Writing allele frequency table...

0it [00:00, ?it/s]
190it [00:00, 1896.63it/s]
380it [00:00, 1892.41it/s]
570it [00:00, 1884.48it/s]
61648it [00:32, 1888.20it/s]
61838it [00:32, 1888.85it/s]
62027it [00:33, 1888.47it/s]
62216it [00:33, 1881.32it/s]
62406it [00:33, 1886.82it/s]
62596it [00:33, 1890.11it/s]
62789it [00:33, 1900.53it/s]
62980it [00:33, 1892.46it/s]
63171it [00:33, 1896.37it/s]
63361it [00:33, 1894.00it/s]
63551it [00:33, 1892.08it/s]
63741it [00:33, 1894.29it/s]
63932it [00:34, 1896.16it/s]
64122it [00:34, 1893.29it/s]
64314it [00:34, 1899.07it/s]
64504it [00:34, 1892.40it/s]
64697it [00:34, 1901.93it/s]
64888it [00:34, 1882.15it/s]
65080it [00:34, 1891.43it/s]
65273it [00:34, 1900.44it/s]
65464it [00:34, 1902.41it/s]
65655it [00:34, 1901.39it/s]
65852it [00:35, 1920.06it/s]
66045it [00:35, 1919.42it/s]
66237it [00:35, 1915.77it/s]
66429it [00:35, 1912.41it/s]
66621it [00:35, 1911.77it/s]
66813it [00:35, 1908.63it/s]
67004it [00:35, 1867.12it/s]
67191it [00:35, 1862.14it/s]
67380it [00:35, 1870.17it/s]
67571it [00:35, 1879.94it/s]
67760it [00:36, 1880.39it/s]
67949it [00:36, 1875.89it/s]
68137it [00:36, 1875.76it/s]
68325it [00:36, 1875.61it/s]
68514it [00:36, 1878.60it/s]
68703it [00:36, 1881.40it/s]
68892it [00:36, 1675.50it/s]
69080it [00:36, 1731.60it/s]
69268it [00:36, 1771.45it/s]
69448it [00:36, 1726.56it/s]
69640it [00:37, 1780.99it/s]
69828it [00:37, 1807.20it/s]
70018it [00:37, 1832.07it/s]
70208it [00:37, 1849.70it/s]
70394it [00:37, 1852.30it/s]
70580it [00:37, 1854.33it/s]
70766it [00:37, 1789.93it/s]
70955it [00:37, 1817.76it/s]
71143it [00:37, 1834.40it/s]
71327it [00:38, 1830.55it/s]
71516it [00:38, 1845.89it/s]
71707it [00:38, 1864.21it/s]
71897it [00:38, 1873.87it/s]
72085it [00:38, 1875.15it/s]
72274it [00:38, 1877.24it/s]
72464it [00:38, 1884.03it/s]
72654it [00:38, 1886.79it/s]
72847it [00:38, 1898.34it/s]
73038it [00:38, 1899.76it/s]
73228it [00:39, 1898.31it/s]
73421it [00:39, 1905.88it/s]
73612it [00:39, 1896.28it/s]
73802it [00:39, 1893.11it/s]
73992it [00:39, 1889.85it/s]
74182it [00:39, 1890.81it/s]
74374it [00:39, 1897.28it/s]
74565it [00:39, 1900.90it/s]
74756it [00:39, 1892.03it/s]
74946it [00:39, 1892.96it/s]
75136it [00:40, 1891.90it/s]
75326it [00:40, 1891.19it/s]
75518it [00:40, 1897.74it/s]
75709it [00:40, 1900.77it/s]
75900it [00:40, 1892.40it/s]
76090it [00:40, 1884.65it/s]
76279it [00:40, 1881.41it/s]
76468it [00:40, 1880.49it/s]
76657it [00:40, 1877.34it/s]
76846it [00:40, 1881.01it/s]
77035it [00:41, 1879.10it/s]
77225it [00:41, 1884.28it/s]
77414it [00:41, 1882.22it/s]
77605it [00:41, 1888.60it/s]
77794it [00:41, 1884.67it/s]
77984it [00:41, 1886.59it/s]
78173it [00:41, 1885.79it/s]
78362it [00:41, 1882.36it/s]
78551it [00:41, 1881.44it/s]
78741it [00:41, 1886.66it/s]
78930it [00:42, 1885.16it/s]
79119it [00:42, 1878.65it/s]
79307it [00:42, 1876.83it/s]
79495it [00:42, 1873.40it/s]
79683it [00:42, 1873.94it/s]
79871it [00:42, 1870.45it/s]
80059it [00:42, 1867.36it/s]
80246it [00:42, 1860.83it/s]
80433it [00:42, 1862.53it/s]
80621it [00:42, 1867.59it/s]
80811it [00:43, 1875.42it/s]
80999it [00:43, 1734.35it/s]
81186it [00:43, 1771.59it/s]
81375it [00:43, 1803.54it/s]
81564it [00:43, 1826.52it/s]
81755it [00:43, 1850.38it/s]
81945it [00:43, 1863.01it/s]
82134it [00:43, 1868.52it/s]
82322it [00:43, 1868.96it/s]
82510it [00:43, 1870.55it/s]
82702it [00:44, 1883.56it/s]
82891it [00:44, 1880.10it/s]
83080it [00:44, 1878.54it/s]
83268it [00:44, 1873.76it/s]
83456it [00:44, 1871.67it/s]
83646it [00:44, 1877.60it/s]
83834it [00:44, 1870.22it/s]
84022it [00:44, 1864.32it/s]
84209it [00:44, 1857.94it/s]
84395it [00:44, 1856.90it/s]
84581it [00:45, 1852.94it/s]
84767it [00:45, 1845.43it/s]
84952it [00:45, 1842.97it/s]
85137it [00:45, 1844.63it/s]
85323it [00:45, 1849.13it/s]
85511it [00:45, 1857.55it/s]
85699it [00:45, 1861.28it/s]
85887it [00:45, 1864.31it/s]
86074it [00:45, 1865.90it/s]
86264it [00:45, 1874.43it/s]
86453it [00:46, 1876.98it/s]
86642it [00:46, 1878.21it/s]
86831it [00:46, 1879.84it/s]
87019it [00:46, 1878.75it/s]
87208it [00:46, 1880.94it/s]
87398it [00:46, 1885.73it/s]
87587it [00:46, 1882.10it/s]
87778it [00:46, 1888.55it/s]
87967it [00:46, 1887.32it/s]
88156it [00:46, 1880.06it/s]
88346it [00:47, 1885.22it/s]
88535it [00:47, 1881.76it/s]
88724it [00:47, 1878.37it/s]
88912it [00:47, 1874.67it/s]
89100it [00:47, 1869.06it/s]
89287it [00:47, 1868.05it/s]
89475it [00:47, 1870.98it/s]
89663it [00:47, 1870.98it/s]
89851it [00:47, 1870.52it/s]
90039it [00:48, 1865.71it/s]
90226it [00:48, 1865.48it/s]
90414it [00:48, 1868.70it/s]
90602it [00:48, 1871.63it/s]
90790it [00:48, 1863.40it/s]
90980it [00:48, 1871.59it/s]
91168it [00:48, 1872.08it/s]
91357it [00:48, 1876.84it/s]
91547it [00:48, 1881.07it/s]
91736it [00:48, 1881.61it/s]
91925it [00:49, 1882.01it/s]
92118it [00:49, 1894.36it/s]
92308it [00:49, 1887.97it/s]
92497it [00:49, 1744.76it/s]
92683it [00:49, 1776.64it/s]
92871it [00:49, 1804.18it/s]
93059it [00:49, 1823.68it/s]
93248it [00:49, 1841.25it/s]
93438it [00:49, 1857.57it/s]
93626it [00:49, 1863.61it/s]
93815it [00:50, 1870.30it/s]
94003it [00:50, 1870.89it/s]
94192it [00:50, 1873.93it/s]
94380it [00:50, 1867.46it/s]
94567it [00:50, 1860.15it/s]
94756it [00:50, 1868.29it/s]
94943it [00:50, 1866.19it/s]
95130it [00:50, 1864.39it/s]
95317it [00:50, 1865.19it/s]
95504it [00:50, 1862.87it/s]
95691it [00:51, 1862.32it/s]
95878it [00:51, 1841.61it/s]
96064it [00:51, 1845.85it/s]
96250it [00:51, 1848.07it/s]
96440it [00:51, 1861.68it/s]
96627it [00:51, 1862.60it/s]
96814it [00:51, 1862.73it/s]
97003it [00:51, 1868.32it/s]
97190it [00:51, 1859.83it/s]
97377it [00:51, 1862.15it/s]
97565it [00:52, 1865.54it/s]
97754it [00:52, 1871.67it/s]
97942it [00:52, 1871.11it/s]
98130it [00:52, 1871.53it/s]
98320it [00:52, 1877.37it/s]
98510it [00:52, 1882.52it/s]
98699it [00:52, 1878.09it/s]
98887it [00:52, 1873.41it/s]
99075it [00:52, 1871.74it/s]
99264it [00:52, 1875.92it/s]
99452it [00:53, 1876.90it/s]
99640it [00:53, 1874.89it/s]
99828it [00:53, 1871.94it/s]
100016it [00:53, 1870.07it/s]
100204it [00:53, 1856.23it/s]
100390it [00:53, 1856.00it/s]
100577it [00:53, 1858.04it/s]
100763it [00:53, 1858.28it/s]
100951it [00:53, 1863.68it/s]
101139it [00:53, 1865.74it/s]
101330it [00:54, 1877.03it/s]
101518it [00:54, 1875.42it/s]
101706it [00:54, 1869.51it/s]
101893it [00:54, 1863.10it/s]
102080it [00:54, 1864.49it/s]
102267it [00:54, 1865.86it/s]
102455it [00:54, 1867.64it/s]
102644it [00:54, 1873.83it/s]
102832it [00:54, 1870.92it/s]
103020it [00:54, 1867.73it/s]
103210it [00:55, 1875.74it/s]
103404it [00:55, 1893.47it/s]
103599it [00:55, 1908.53it/s]
103791it [00:55, 1911.30it/s]
103983it [00:55, 1828.95it/s]
104169it [00:55, 1836.01it/s]
104355it [00:55, 1842.62it/s]
104540it [00:55, 1844.15it/s]
104725it [00:55, 1845.50it/s]
104911it [00:55, 1848.80it/s]
105098it [00:56, 1854.73it/s]
105285it [00:56, 1858.80it/s]
105473it [00:56, 1862.78it/s]
105665it [00:56, 1876.65it/s]
105856it [00:56, 1886.57it/s]
106046it [00:56, 1887.66it/s]
106235it [00:56, 1887.60it/s]
106424it [00:56, 1883.28it/s]
106613it [00:56, 1884.38it/s]
106802it [00:56, 1885.01it/s]
106991it [00:57, 1882.72it/s]
107180it [00:57, 1879.50it/s]
107369it [00:57, 1881.64it/s]
107560it [00:57, 1887.56it/s]
107753it [00:57, 1898.20it/s]
107943it [00:57, 1894.86it/s]
108138it [00:57, 1909.52it/s]
108329it [00:57, 1904.57it/s]
108520it [00:57, 1899.98it/s]
108711it [00:57, 1886.70it/s]
108903it [00:58, 1894.48it/s]
109093it [00:58, 1892.34it/s]
109283it [00:58, 1891.74it/s]
109473it [00:58, 1891.59it/s]
109663it [00:58, 1889.03it/s]
109854it [00:58, 1894.77it/s]
110044it [00:58, 1894.68it/s]
110234it [00:58, 1895.64it/s]
110427it [00:58, 1904.50it/s]
110618it [00:59, 1905.70it/s]
110813it [00:59, 1918.11it/s]
111007it [00:59, 1922.38it/s]
111200it [00:59, 1921.89it/s]
111393it [00:59, 1916.33it/s]
111588it [00:59, 1924.22it/s]
111781it [00:59, 1914.58it/s]
111973it [00:59, 1914.76it/s]
112168it [00:59, 1922.07it/s]
112361it [00:59, 1924.12it/s]
112554it [01:00, 1921.48it/s]
112747it [01:00, 1909.07it/s]
112940it [01:00, 1914.99it/s]
113132it [01:00, 1914.86it/s]
113328it [01:00, 1925.97it/s]
113521it [01:00, 1920.44it/s]
113714it [01:00, 1913.33it/s]
113906it [01:00, 1900.71it/s]
114097it [01:00, 1898.80it/s]
114288it [01:00, 1900.52it/s]
114479it [01:01, 1895.81it/s]
114670it [01:01, 1899.40it/s]
114860it [01:01, 1896.10it/s]
115050it [01:01, 1893.81it/s]
115241it [01:01, 1896.64it/s]
115432it [01:01, 1898.01it/s]
115622it [01:01, 1789.21it/s]
115813it [01:01, 1823.20it/s]
116002it [01:01, 1841.27it/s]
116194it [01:01, 1861.78it/s]
116385it [01:02, 1873.96it/s]
116577it [01:02, 1885.27it/s]
116766it [01:02, 1883.25it/s]
116957it [01:02, 1890.55it/s]
117149it [01:02, 1896.87it/s]
117342it [01:02, 1905.13it/s]
117535it [01:02, 1912.03it/s]
117728it [01:02, 1915.07it/s]
117920it [01:02, 1913.93it/s]
118112it [01:02, 1906.20it/s]
118305it [01:03, 1912.16it/s]
118498it [01:03, 1913.80it/s]
118690it [01:03, 1913.58it/s]
118884it [01:03, 1920.87it/s]
119078it [01:03, 1924.71it/s]
119271it [01:03, 1915.31it/s]
119466it [01:03, 1922.59it/s]
119659it [01:03, 1912.04it/s]
119851it [01:03, 1913.60it/s]
120043it [01:03, 1907.68it/s]
120234it [01:04, 1905.05it/s]
120425it [01:04, 1902.99it/s]
120617it [01:04, 1905.32it/s]
120808it [01:04, 1902.94it/s]
120999it [01:04, 1899.45it/s]
121189it [01:04, 1895.60it/s]
121379it [01:04, 1895.11it/s]
121569it [01:04, 1889.29it/s]
121760it [01:04, 1892.60it/s]
121950it [01:04, 1873.34it/s]
122138it [01:05, 1758.64it/s]
122328it [01:05, 1797.23it/s]
122520it [01:05, 1830.22it/s]
122710it [01:05, 1848.61it/s]
122899it [01:05, 1858.53it/s]
123090it [01:05, 1871.50it/s]
123280it [01:05, 1879.69it/s]
123472it [01:05, 1889.14it/s]
123663it [01:05, 1894.82it/s]
123855it [01:05, 1899.53it/s]
124047it [01:06, 1903.44it/s]
124238it [01:06, 1898.32it/s]
124428it [01:06, 1892.18it/s]
124618it [01:06, 1799.34it/s]
124807it [01:06, 1824.69it/s]
124997it [01:06, 1844.70it/s]
125186it [01:06, 1856.91it/s]
125377it [01:06, 1871.06it/s]
125571it [01:06, 1889.16it/s]
125764it [01:07, 1899.68it/s]
125956it [01:07, 1904.95it/s]
126147it [01:07, 1903.69it/s]
126338it [01:07, 1901.07it/s]
126529it [01:07, 1901.45it/s]
126721it [01:07, 1900.48it/s]
126914it [01:07, 1908.55it/s]
127108it [01:07, 1916.80it/s]
127300it [01:07, 1813.23it/s]
127495it [01:07, 1850.98it/s]
127686it [01:08, 1867.09it/s]
127877it [01:08, 1877.22it/s]
128070it [01:08, 1892.54it/s]
128264it [01:08, 1903.68it/s]
128457it [01:08, 1911.01it/s]
128649it [01:08, 1913.55it/s]
128841it [01:08, 1914.90it/s]
129033it [01:08, 1912.63it/s]
129225it [01:08, 1913.97it/s]
129417it [01:08, 1911.02it/s]
129609it [01:09, 1911.40it/s]
129801it [01:09, 1900.80it/s]
129992it [01:09, 1899.81it/s]
130184it [01:09, 1902.85it/s]
130377it [01:09, 1909.12it/s]
130571it [01:09, 1915.53it/s]
130763it [01:09, 1914.56it/s]
130955it [01:09, 1908.80it/s]
131147it [01:09, 1909.49it/s]
131340it [01:09, 1913.04it/s]
131532it [01:10, 1904.92it/s]
131723it [01:10, 1904.94it/s]
131914it [01:10, 1903.67it/s]
132105it [01:10, 1901.97it/s]
132296it [01:10, 1899.61it/s]
132486it [01:10, 1899.06it/s]
132677it [01:10, 1900.74it/s]
132868it [01:10, 1900.01it/s]
133059it [01:10, 1899.73it/s]
133249it [01:10, 1898.87it/s]
133441it [01:11, 1904.43it/s]
133633it [01:11, 1907.29it/s]
133824it [01:11, 1894.50it/s]
134014it [01:11, 1893.20it/s]
134206it [01:11, 1900.71it/s]
134397it [01:11, 1899.45it/s]
134587it [01:11, 1896.47it/s]
134777it [01:11, 1892.70it/s]
134968it [01:11, 1895.03it/s]
135158it [01:11, 1892.13it/s]
135348it [01:12, 1893.90it/s]
135540it [01:12, 1901.07it/s]
135733it [01:12, 1907.57it/s]
135925it [01:12, 1908.49it/s]
136117it [01:12, 1910.64it/s]
136309it [01:12, 1907.56it/s]
136500it [01:12, 1905.47it/s]
136692it [01:12, 1907.95it/s]
136883it [01:12, 1905.78it/s]
137075it [01:12, 1907.43it/s]
137266it [01:13, 1906.62it/s]
137460it [01:13, 1913.58it/s]
137652it [01:13, 1904.06it/s]
137843it [01:13, 1901.95it/s]
138034it [01:13, 1898.40it/s]
138224it [01:13, 1894.88it/s]
138414it [01:13, 1886.88it/s]
138605it [01:13, 1891.35it/s]
138795it [01:13, 1890.76it/s]
138985it [01:13, 1777.56it/s]
139175it [01:14, 1810.31it/s]
139371it [01:14, 1851.04it/s]
139566it [01:14, 1879.62it/s]
139756it [01:14, 1884.31it/s]
139947it [01:14, 1888.59it/s]
140137it [01:14, 1885.76it/s]
140332it [01:14, 1902.61it/s]
140523it [01:14, 1896.32it/s]
140713it [01:14, 1895.32it/s]
140903it [01:14, 1893.63it/s]
141093it [01:15, 1894.75it/s]
141283it [01:15, 1894.59it/s]
141474it [01:15, 1897.43it/s]
141664it [01:15, 1897.81it/s]
141857it [01:15, 1905.08it/s]
142048it [01:15, 1903.66it/s]
142239it [01:15, 1900.74it/s]
142430it [01:15, 1897.73it/s]
142620it [01:15, 1883.39it/s]
142809it [01:16, 1884.66it/s]
142999it [01:16, 1889.13it/s]
143190it [01:16, 1894.38it/s]
143380it [01:16, 1891.38it/s]
143570it [01:16, 1890.86it/s]
143761it [01:16, 1895.30it/s]
143953it [01:16, 1901.86it/s]
144144it [01:16, 1897.43it/s]
144335it [01:16, 1900.49it/s]
144526it [01:16, 1901.92it/s]
144717it [01:17, 1900.66it/s]
144908it [01:17, 1900.51it/s]
145099it [01:17, 1899.05it/s]
145290it [01:17, 1900.07it/s]
145481it [01:17, 1896.00it/s]
145671it [01:17, 1888.31it/s]
145860it [01:17, 1882.22it/s]
146050it [01:17, 1886.80it/s]
146239it [01:17, 1886.18it/s]
146428it [01:17, 1883.88it/s]
146617it [01:18, 1874.43it/s]
146807it [01:18, 1880.22it/s]
146996it [01:18, 1879.82it/s]
147186it [01:18, 1884.03it/s]
147377it [01:18, 1890.50it/s]
147567it [01:18, 1893.02it/s]
147759it [01:18, 1899.71it/s]
